Academy,Aqqutikitsoq,Austfonna,Brewster,Columbia,Devon,Elbrus,Freya,Hellstugubreen,Kesselwandferner,Mocho,NorthGlacier,SouthGlacier,Starbuck,Synthetic1,Synthetic2,Synthetic3,Tasman,Unteraar,Urumqi,Washmawapta
0.05664682983578684,0.05464706509834473,0.0014578509561787153,0.0023124101571370295,0.01113935620233641,0.012638158710121417,0.027569498860556565,0.008396755636545539,0.010133051370164773,0.01375097495592216,0.015336911150864638,0.013394171327642037,0.020954301075268817,0.059794227685729555,0.05240103828682673,0.03335261229998072,0.12789920106993277,0.0012485835396818736,0.0012774192840969523,0.017692174976865285,0.012642762284196547
0.06693811803660119,0.06286912708142266,0.002401166280764943,0.003104619991019567,0.013281540087401102,0.014292123334997724,0.03290367569355082,0.010183299389002037,0.012053925455987312,0.017375516972425953,0.017149672033392963,0.015906892636359814,0.025362903225806453,0.06831239978621058,0.06128325762491888,0.04110275689223058,0.14829479463625805,0.0014724192442747024,0.001748913097111278,0.01998211961039572,0.014316069057104914
0.07691619311826033,0.07201087348236855,0.0034302375439499186,0.003982113114412157,0.015737910942275286,0.01602844961703809,0.038007807164475244,0.012791653267588523,0.014309630804476165,0.02166860019269717,0.019129397734048897,0.01845115437991505,0.030470430107526883,0.07338989845002672,0.071585009733939,0.04927703875072296,0.16793369232393623,0.0018081728011639458,0.0022258893963234445,0.022413225214486254,0.016175298804780875
0.08725222605038256,0.08126537812611817,0.004545064745733642,0.004870908842438609,0.01788009482733998,0.01786891587905032,0.04342106209068101,0.01618608639725587,0.01706758304696449,0.02726599419286758,0.021323792486583185,0.021331847428403213,0.03502688172043011,0.07873463388562266,0.08322517845554835,0.05914786967418546,0.18722063844015063,0.002161413522474504,0.0028947527124600463,0.024922753579999058,0.018140770252324037
0.09678285381896282,0.09053942326080822,0.006431695394906097,0.005885574485705801,0.020393590585815885,0.019814314060045607,0.050559657232410515,0.02197448815521492,0.02068023614415367,0.03370889618603798,0.023732856290995825,0.024811808738803145,0.04076612903225806,0.08504810261892036,0.095554834523037,0.06894158473105841,0.20634920634920634,0.0025321414082063766,0.003569098514794489,0.027651865677494235,0.020451527224435592
0.10814801557116649,0.10036732919608819,0.008918617614269788,0.0071185859003089725,0.02284996144069007,0.02189750962898845,0.059200736145158625,0.029263586665237432,0.025015419860780687,0.041174272961440904,0.02676207513416816,0.029069767441860465,0.04663978494623656,0.09096071619454837,0.11064243997404283,0.07973780605359553,0.22454510259388308,0.002923853891243827,0.004418883875459844,0.03061624605925624,0.023107569721115537
0.11758915387713097,0.11073532148752467,0.011062516079238487,0.008604364654905793,0.025591956813572878,0.02428678962575734,0.06924365398301978,0.03994711830492729,0.030557758392809938,0.050481415209967816,0.029934406678592724,0.03340132049287186,0.05342741935483871,0.09967931587386425,0.12654120700843607,0.09088104877578562,0.2422834617956569,0.00341349449504064,0.005356389015290654,0.03362768009787161,0.02555112881806109
0.12734350530225066,0.12202395920458028,0.013635194237200925,0.010240159798279332,0.028305389734654823,0.027519484669446637,0.08099034528371063,0.052381462822024515,0.036831438893294564,0.06323613268576597,0.033249850924269526,0.03759619832625426,0.06201612903225807,0.10803046499198289,0.14463011031797535,0.10163871216502796,0.2596346742688206,0.003917124830374505,0.0064912636582437405,0.03668616779334034,0.028393094289508633
0.13835070920399123,0.1339010540012679,0.016722408026755852,0.011933495474334354,0.031075947559338495,0.030861467296680548,0.092205056684615,0.06603065709079216,0.04387170675830469,0.0786781236276881,0.036923076923076927,0.042768829639597966,0.07172043010752688,0.11564671298770711,0.16434133679428942,0.11216502795450164,0.2774610213634604,0.0045466627495418365,0.007785130400934216,0.03965054817510234,0.03155378486055777
0.15056602085104479,0.14714342047644843,0.01972386587771203,0.013764003670263977,0.033817942932221304,0.033893009831526856,0.10398050365556458,0.0803944688605424,0.05142303286633183,0.0973710600310675,0.0407871198568873,0.048656377475924134,0.08149193548387097,0.12326296098343131,0.18616158338741076,0.12261422787738577,0.29505859993664874,0.005228662161973111,0.009210576812372875,0.04363442445535392,0.034661354581673305
0.16237862991632734,0.16080798969030885,0.02315410342166195,0.0157049691387518,0.036702750564108426,0.036941579055113805,0.1150514367051753,0.09311466037803266,0.05904484976649925,0.11645725596607481,0.045199761478831244,0.05500651835653308,0.09172043010752688,0.13188134687332978,0.20830629461388708,0.13364179679969154,0.31263858093126384,0.005998097396510961,0.010756637920164036,0.04705365685336512,0.038140770252324034
0.17307262069891272,0.17501777063499868,0.025984049395420632,0.01765107215480047,0.03990174516580503,0.03996599413885938,0.126733427747784,0.10601350627076857,0.06506300114547538,0.13739177169973324,0.04975551580202743,0.0611779301063964,0.10170698924731182,0.13809460181721006,0.23195165476963012,0.14424522845575477,0.3299194030901348,0.0069528965739147465,0.012489103558681791,0.0505826811173675,0.04223107569721116
0.18390084567542173,0.18962925281967682,0.028470971614784325,0.019743081521577187,0.04350061409271372,0.04327788308366796,0.13886113167940303,0.11894808303855361,0.07079037800687285,0.15784126734438392,0.05476446034585569,0.06705496446444342,0.11237903225806452,0.1430050774986638,0.2562053861129137,0.15561981877771353,0.3472178228275789,0.008002126439193631,0.014259946600584434,0.054127389933654346,0.04685258964143426
0.19455009172669918,0.2041917236090454,0.03155818540433925,0.02189725521384014,0.047099483019622405,0.047073646764315386,0.1491053392090753,0.12934576767785044,0.07589214908802537,0.18360632099153837,0.06256410256410257,0.07278481012658228,0.12358870967741936,0.1476149118118653,0.2789179104477612,0.16657027183342973,0.36405870552212016,0.00911431009638925,0.016266536548994237,0.05746819957024327,0.051819389110225766
0.20448342207705042,0.21849440196968148,0.035845982334276646,0.024219940466098863,0.05075547685013281,0.05091613484662319,0.15931360215092413,0.13888591131596814,0.08080888183980968,0.20722811019132076,0.07255813953488371,0.07864081752807099,0.13553763440860214,0.15202431854623197,0.3005353666450357,0.17879313668787353,0.3808819906380882,0.010450329458177698,0.01831150390078893,0.060761955549978826,0.05768924302788845
0.2151774128596358,0.23301458841799866,0.0420204099133865,0.0270075737726142,0.05438290822884236,0.05464299983329684,0.17125439422586142,0.14688962732697325,0.08577848268569918,0.2296570121451652,0.0862015503875969,0.08612641406282855,0.14823924731182797,0.1573690539818279,0.3214633354964309,0.19066898014266434,0.3974589096540316,0.011978707628600607,0.020531910810914534,0.06388318145458538,0.06430278884462151
