x,y,Thickness,GATE,Inferred
601511.3084991159,6737209.956282504,628.126167998789,NA,False
601511.5330562162,6737199.4800125575,634.1730241655159,NA,False
601511.7576133165,6737189.003742612,640.2198803322419,NA,False
601511.9821704167,6737178.5274726655,646.266736498969,NA,False
601512.2067275171,6737168.05120272,652.313592665696,NA,False
601512.4312846174,6737157.574932774,658.587554059421,NA,False
601512.6558417176,6737147.098662828,664.902219706726,NA,False
601512.880398818,6737136.622392882,671.21688535403,NA,False
601512.8993086603,6737126.153334298,677.531551001334,NA,False
601511.9414700044,6737115.718527017,683.846216648638,NA,False
601510.9836313485,6737105.283719737,687.9468994245351,NA,False
601510.0257926926,6737094.848912456,691.095558256913,NA,False
601509.0679540366,6737084.414105176,694.2442170892909,NA,False
601508.1101153807,6737073.979297896,697.3928759216701,NA,False
601507.1522767248,6737063.544490615,700.981967316321,NA,False
601506.1944380689,6737053.109683335,704.815871459328,NA,False
601505.236599413,6737042.674876054,708.649775602334,NA,False
601504.6268061703,6737032.217078865,712.4836797453399,NA,False
601504.203782793,6737021.746944716,716.3175838883459,NA,False
601503.7807594158,6737011.276810567,720.9442439891451,NA,False
601503.3577360385,6737000.8066764185,726.3828365177991,NA,False
601502.9347126613,6736990.336542269,731.8214290464521,NA,False
601502.511689284,6736979.866408121,737.2600215751061,NA,False
601502.0886659067,6736969.396273972,741.947291903415,NA,False
601501.3416422039,6736958.94868618,745.668434159863,NA,False
601500.3104308145,6736948.520874283,749.38957641631,NA,False
601499.279219425,6736938.093062387,753.110718672757,NA,False
601498.2480080357,6736927.665250491,756.8318609292039,NA,False
601497.2167966464,6736917.237438595,762.4304838492709,NA,False
601496.185585257,6736906.8096266985,768.632387610016,NA,False
601495.1543738677,6736896.381814802,774.834291370761,NA,False
601493.7241934808,6736886.081793811,781.036195131506,NA,False
601488.5049552831,6736876.995418819,787.305583408204,NA,False
601483.2857170854,6736867.909043826,794.393473420484,NA,False
601478.0664788877,6736858.822668834,801.4813634327651,NA,False
601472.84724069,6736849.736293841,808.569253445045,NA,False
601467.6280024924,6736840.649918848,813.747822664247,NA,False
601462.4087642947,6736831.563543855,818.4482128829179,NA,False
601457.189526097,6736822.477168863,823.148603101588,NA,False
601451.9702878994,6736813.39079387,827.848993320258,NA,False
601446.7510497017,6736804.304418878,832.549383538928,NA,False
601441.531811504,6736795.218043885,837.249773757598,NA,False
601436.3125733064,6736786.131668892,839.265626711295,NA,False
601431.0933351086,6736777.045293899,840.883514648881,NA,False
601426.2510786003,6736767.791325543,842.501402586467,NA,False
601423.0019526959,6736757.829104971,844.119290524053,NA,False
601419.7528267915,6736747.866884398,845.737178461638,NA,False
601416.503700887,6736737.904663826,847.3550663992239,NA,False
601413.2545749826,6736727.942443254,848.97295433681,NA,False
601410.005449078,6736717.9802226825,849.708381814081,NA,False
601406.7563231736,6736708.01800211,850.0545345821221,NA,False
601403.5071972691,6736698.055781538,850.400687350164,NA,False
601400.2580713647,6736688.093560966,850.746840118205,NA,False
601397.0089454603,6736678.131340394,851.092992886247,NA,False
601393.7598195558,6736668.169119821,851.439145654289,NA,False
601390.5106936514,6736658.206899249,851.78529842233,NA,False
601389.068553384,6736647.866402402,851.937108717169,NA,False
601388.048969094,6736637.437447241,852.085954407427,NA,False
601387.0293848038,6736627.00849208,852.2348000976849,NA,False
601386.0098005137,6736616.579536919,852.383645787943,NA,False
601384.9902162236,6736606.1505817585,852.532491478201,NA,False
601383.9706319335,6736595.721626597,852.681337168459,NA,False
601382.9510476434,6736585.292671436,852.8301828587171,NA,False
601381.9314633533,6736574.863716275,852.9784918418691,NA,False
601380.9118790632,6736564.434761114,853.1244189891811,NA,False
601379.8922947731,6736554.005805954,853.2703461364931,NA,False
601378.872710483,6736543.576850793,853.416273283804,NA,False
601378.1326157405,6736533.132176374,853.562200431116,NA,False
601377.9763630626,6736522.654665077,853.708127578428,NA,False
601377.8201103846,6736512.177153781,853.8540547257389,NA,False
601377.6638577067,6736501.699642484,853.999981873051,NA,False
601377.5076050288,6736491.222131187,853.8973404642461,NA,False
601377.3513523508,6736480.744619891,852.94726159026,NA,False
601377.1950996729,6736470.267108594,851.9971827162731,NA,False
601377.038846995,6736459.789597297,851.047103842287,NA,False
601376.8825943171,6736449.312086001,850.0970249683,NA,False
601376.7263416391,6736438.834574704,849.146946094314,NA,False
601376.5700889612,6736428.357063407,848.196867220327,NA,False
601376.4138362833,6736417.879552111,847.246788346341,NA,False
601376.2575836052,6736407.402040814,847.1458714685409,NA,False
601376.1013309273,6736396.924529517,847.1458714685409,NA,False
601375.9450782494,6736386.44701822,847.1458714685409,NA,False
601375.7888255715,6736375.969506924,847.1458714685409,NA,False
601375.6325728935,6736365.491995627,847.1458714685409,NA,False
601375.4763202156,6736355.01448433,847.1458714685409,NA,False
601375.3200675377,6736344.536973034,846.9152458416611,NA,False
601375.1638148597,6736334.059461737,846.238674522306,NA,False
601375.0075621818,6736323.58195044,845.562103202952,NA,False
601374.1141303326,6736313.145611546,844.885531883598,NA,False
601373.102685767,6736302.715863814,844.208960564244,NA,False
601372.0912412015,6736292.286116081,843.247203358733,NA,False
601371.079796636,6736281.856368349,841.0865401130541,NA,False
601370.0683520705,6736271.426620617,838.925876867375,NA,False
601369.056907505,6736260.996872884,836.765213621696,NA,False
601368.0454629395,6736250.567125152,834.604550376017,NA,False
601367.034018374,6736240.1373774195,832.3701805363901,NA,False
601366.0225738086,6736229.707629687,830.002180918651,NA,False
601365.0111292431,6736219.277881955,827.634181300912,NA,False
601363.9996846775,6736208.8481342215,825.266181683173,NA,False
601362.988240112,6736198.418386489,822.898182065434,NA,False
601362.0255030111,6736187.984772075,820.530182447695,NA,False
601361.3787014984,6736177.526076857,818.162182829955,NA,False
601360.7318999856,6736167.067381638,815.231818324096,NA,False
601360.0850984728,6736156.608686419,811.717406193007,NA,False
601359.43829696,6736146.149991201,808.202994061918,NA,False
601358.7914954472,6736135.691295982,804.6885819308291,NA,False
601358.1446939345,6736125.232600764,801.17416979974,NA,False
601357.4978924217,6736114.7739055455,797.659757668651,NA,False
601356.8510909089,6736104.315210327,792.3390074342959,NA,False
601356.2042893961,6736093.856515109,786.757294049625,NA,False
601355.5574878834,6736083.39781989,781.175580664954,NA,False
601354.9106863706,6736072.939124671,775.3213282035699,NA,False
601354.2638848578,6736062.480429453,767.6309675402459,NA,False
601353.617083345,6736052.021734234,759.940606876922,NA,False
